,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
80,1694210100000536,59934836,2458353.850660444,58353.35050902133,20.2137356,0.118298724,0,zr,22.4168845,38.7029832,1.39400005,-0.216000006,20180823348345,1694,0xa,0x1,21.0400009,26.2381878,0.0215827934,0.101044714,3.72028035e-06,30,1.19700003,2
81,1694210100000536,60033104,2458354.833411762,58354.333260315616,20.4837894,0.143811867,0,zr,22.4169026,38.7028934,0.725000024,-0.0160000008,20180824330995,1694,0xa,0x1,21.0200005,26.2294292,0.0247152578,0.100511923,4.86592489e-06,30,1.26100004,2
82,1694210100000536,60132884,2458355.831290958,58355.33113949559,20.1607399,0.11373467,0,zr,22.4169074,38.7029845,1.15499997,-0.261999995,20180825328796,1694,0xa,0x1,20.7800007,26.2353535,0.0217612553,0.0973054245,3.77152242e-06,30,1.25800002,2
83,1694210100000536,60232508,2458356.8276068936,58356.32745540609,19.9166279,0.0946082026,0,zr,22.4168595,38.7029592,0.712000012,-0.0379999988,20180826325035,1694,0xa,0x1,20.5699997,26.2412033,0.0250044446,0.102055244,4.9854907e-06,30,1.26300001,2
84,1694210100000536,60837476,2458362.8777501816,58362.37759856568,20.0585537,0.105351359,0,zr,22.4168335,38.7029982,0.592999995,0.111000001,20180901374688,1694,0xa,0x1,20.8299999,26.2551098,0.0214314051,0.106491849,3.68871656e-06,30,1.05499995,2
85,1694210100000536,60944934,2458363.952400021,58363.452248381385,20.1730614,0.114782609,0,zr,22.4169164,38.7029168,0.964999974,-0.157000005,20180902449329,1694,0xa,0x1,21.1100006,26.2325993,0.0197476763,0.100052439,3.12912812e-06,30,1.005,2
86,1694210100000536,61136966,2458365.872861152,58365.37270947589,20.2473354,0.121268965,0,zr,22.4169438,38.7029776,0.93599999,0.194999993,20180904369653,1694,0xa,0x1,21.3600006,26.2319012,0.0188936386,0.102920473,2.87869671e-06,30,1.04900002,2
87,1694210100000536,61239269,2458366.8959652768,58366.395813578296,20.1908989,0.116313949,0,zr,22.4169513,38.7029701,0.345999986,0.00600000005,20180905392685,1694,0xa,0x1,21.6200008,26.2464714,0.0185432639,0.102736875,2.76109745e-06,30,1.01699996,2
88,1694210100000536,61433355,2458368.836955136,58368.33680339261,20.0490532,0.104599886,0,zr,22.416912,38.7029594,0.666999996,-0.136000007,20180907333507,1694,0xa,0x1,21.5499992,26.2376118,0.0190454256,0.0941012502,2.90575099e-06,30,1.10899997,2
89,1694210100000536,61833921,2458372.842879116,58372.34272728831,20.2342548,0.120105684,0,zr,22.4170361,38.7029318,0.279000014,0.0170000009,20180911339213,1694,0xa,0x1,21.2800007,26.2738609,0.0172163341,0.0927834436,2.36062147e-06,30,1.07000005,2
90,1694210100000536,62037085,2458374.8746504467,58374.37449857162,20.1742172,0.114881381,0,zr,22.4169221,38.7029617,1.07099998,0.0179999992,20180913370833,1694,0xa,0x1,21.6200008,26.2698936,0.017398404,0.0976059139,2.40862141e-06,30,1.01699996,2
91,1694210100000536,62630336,2458380.8075096854,58380.30735767707,20.0226898,0.102538675,0,zr,22.4168902,38.7029444,0.796999991,-0.00200000009,20180919303356,1694,0xa,0x1,21.4500008,26.2679729,0.0223148391,0.0936212391,3.92738184e-06,30,1.10300004,2
92,1694210100000536,62931857,2458383.822879264,58383.3227271878,20.0363064,0.103598699,0,zr,22.4168999,38.7029358,0.802999973,0.0549999997,20180922318553,1694,0xa,0x1,21.0900002,26.2273331,0.0275221076,0.097295247,6.01853026e-06,30,1.05299997,2
93,1694210100000536,63236017,2458386.864628054,58386.36447590706,19.8870621,0.0924992189,0,zr,22.4168769,38.7029067,0.628000021,0.0280000009,20180925360093,1694,0xa,0x1,20.3199997,26.2521477,0.0248861779,0.105696425,4.9158557e-06,30,1.00399995,2
94,1694210100000536,66934135,2458423.846626067,58423.346473060126,19.9102287,0.0941480324,0,zr,22.4170071,38.7029361,0.694000006,-0.0469999984,20181101341343,1694,0xa,0x1,20.8199997,26.1546135,0.0201638304,0.0791796744,3.15249031e-06,30,1.07299995,2
95,1694210100000536,67126340,2458425.7686612005,58425.26850814831,20.1492767,0.112766907,0,zr,22.4169636,38.7029413,0.488000005,-0.0109999999,20181103263380,1694,0xa,0x1,21.2299995,26.0787106,0.0247942191,0.102764301,4.77049571e-06,30,1.00100005,2
96,1694210100000536,67528491,2458429.7901307214,58429.28997757506,20.5437069,0.148795724,0,zr,22.4169465,38.7030225,0.774999976,0.0879999995,20181107284907,1694,0xa,0x1,21.2399998,26.2390118,0.0230346844,0.112152539,4.11086057e-06,30,1.01400006,2
97,1694210100000536,67732807,2458431.8332571606,58431.333103949444,19.9762897,0.098998405,0,zr,22.4171824,38.702756,0.800000012,0.0869999975,20181109328056,1694,0xa,0x1,20.2999992,26.2167625,0.0278111715,0.0986813009,5.98357337e-06,30,1.09300005,2
98,1694210100000536,67831783,2458432.8229956394,58432.322842416805,20.1884022,0.116098665,0,zr,22.4169075,38.7029142,0.349000007,0.0260000005,20181110317824,1694,0xa,0x1,21.0,26.2490025,0.0208341312,0.0984192789,3.36192966e-06,30,1.07500005,2
99,1694210100000536,68128452,2458435.789621432,58435.289468142575,20.2087898,0.11786662,0,zr,22.4168154,38.7029902,0.882000029,-0.0329999998,20181113284479,1694,0xa,0x1,20.4200001,26.2571392,0.0257191379,0.105705187,5.12883571e-06,30,1.03199995,2
